typos,word,suggest,check
TRUE,given,given,TRUE
TRUE,know,know,TRUE
FALSE,kdfw,kdfw,TRUE
FALSE,abnorm,abnorm,TRUE
TRUE,tube,tube,TRUE
TRUE,pass,pass,TRUE
FALSE,dest,dest,TRUE
TRUE,lark,lark,TRUE
FALSE,dri,dri,TRUE
TRUE,hour,hour,TRUE
TRUE,thought,thought,TRUE
TRUE,spot,spot,TRUE
FALSE,damageinjuri,damage,FALSE
FALSE,activ,active,FALSE
TRUE,bent,bent,TRUE
TRUE,least,least,TRUE
TRUE,author,author,TRUE
TRUE,look,look,TRUE
TRUE,dept,dept,TRUE
FALSE,wildlf,wildlife,FALSE
TRUE,reveal,reveal,TRUE
TRUE,visual,visual,TRUE
FALSE,anoth,another,FALSE
FALSE,whenwher,whenever,FALSE
TRUE,posit,posit,TRUE
FALSE,encount,encount,TRUE
TRUE,horn,horn,TRUE
TRUE,crack,crack,TRUE
FALSE,initi,initial,FALSE
FALSE,singl,single,FALSE
TRUE,three,three,TRUE
FALSE,estim,estimate,FALSE
TRUE,root,root,TRUE
TRUE,inch,inch,TRUE
TRUE,second,second,TRUE
FALSE,vibrat,vibrate,FALSE
FALSE,msl,msl,TRUE
FALSE,airsid,airsid,TRUE
TRUE,unit,unit,TRUE
TRUE,happen,happen,TRUE
FALSE,jbu,jbu,TRUE
FALSE,insid,inside,FALSE
FALSE,postflight,post flight,FALSE
TRUE,copilot,copilot,TRUE
TRUE,exit,exit,TRUE
TRUE,within,within,TRUE
FALSE,otbd,otbd,TRUE
TRUE,log,log,TRUE
TRUE,miss,miss,TRUE
TRUE,dusk,dusk,TRUE
TRUE,use,use,TRUE
FALSE,immedi,immidiate,FALSE
TRUE,along,along,TRUE
TRUE,sure,sure,TRUE
FALSE,declar,declare,FALSE
FALSE,nacel,nacel,TRUE
TRUE,logbook,logbook,TRUE
TRUE,across,across,TRUE
TRUE,rem,rem,TRUE
FALSE,addit,addit,TRUE
TRUE,leg,leg,TRUE
TRUE,accord,accord,TRUE
TRUE,wheel,wheel,TRUE
TRUE,eastern,eastern,TRUE
TRUE,head,head,TRUE
FALSE,issu,issue,FALSE
TRUE,place,place,TRUE
TRUE,bag,bag,TRUE
TRUE,inboard,inboard,TRUE
FALSE,probabl,probable,FALSE
TRUE,came,came,TRUE
TRUE,cross,cross,TRUE
TRUE,origin,origin,TRUE
FALSE,morremark,morremark,TRUE
TRUE,bottom,bottom,TRUE
FALSE,kden,kden,TRUE
TRUE,lax,lax,TRUE
TRUE,min,min,TRUE
FALSE,chang,chang,TRUE
FALSE,drm,drm,TRUE
FALSE,preflt,prefect,FALSE
TRUE,slight,slight,TRUE
TRUE,path,path,TRUE
TRUE,section,section,TRUE
FALSE,intak,intake,FALSE
TRUE,ask,ask,TRUE
TRUE,detail,detail,TRUE
FALSE,schedul,schedule,FALSE
TRUE,band,band,TRUE
TRUE,wiper,wiper,TRUE
TRUE,splatter,splatter,TRUE
FALSE,sourc,source,FALSE
TRUE,alert,alert,TRUE
TRUE,strut,strut,TRUE
TRUE,limit,limit,TRUE
FALSE,dfw,dfw,TRUE
FALSE,pax,pax,TRUE
TRUE,man,man,TRUE
TRUE,never,never,TRUE
TRUE,outbound,outbound,TRUE
FALSE,condit,conduit,FALSE
TRUE,done,done,TRUE
FALSE,undersid,underside,FALSE
TRUE,submit,submit,TRUE
TRUE,previous,previous,TRUE
TRUE,tip,tip,TRUE
TRUE,outboard,outboard,TRUE
TRUE,behind,behind,TRUE
TRUE,brown,brown,TRUE
FALSE,citi,citi,TRUE
FALSE,ewr,ewr,TRUE
FALSE,injur,injure,FALSE
FALSE,usdaw,USDA,FALSE
TRUE,sound,sound,TRUE
FALSE,svc,sec,FALSE
FALSE,howev,however,FALSE
FALSE,sfti,sift,FALSE
TRUE,sustain,sustain,TRUE
FALSE,ord,rod,FALSE
TRUE,descent,descent,TRUE
FALSE,recvd,recvd,TRUE
FALSE,abl,abl,TRUE
TRUE,system,system,TRUE
TRUE,compressor,compressor,TRUE
TRUE,broken,broken,TRUE
FALSE,crj,crj,TRUE
FALSE,alreadi,already,FALSE
TRUE,foot,foot,TRUE
FALSE,redtail,redtail,TRUE
TRUE,well,well,TRUE
TRUE,red,red,TRUE
TRUE,forward,forward,TRUE
TRUE,still,still,TRUE
TRUE,fuel,fuel,TRUE
TRUE,hear,hear,TRUE
TRUE,full,full,TRUE
TRUE,crow,crow,TRUE
TRUE,midfield,midfield,TRUE
TRUE,rain,rain,TRUE
FALSE,rpa,rpa,TRUE
FALSE,anim,anim,TRUE
TRUE,grass,grass,TRUE
TRUE,cloud,cloud,TRUE
FALSE,coyot,coyot,TRUE
FALSE,altitud,altitude,FALSE
FALSE,vicin,vicin,TRUE
FALSE,outsid,outside,FALSE
TRUE,direct,direct,TRUE
FALSE,rdr,rdr,TRUE
TRUE,traffic,traffic,TRUE
FALSE,unreport,unreport,TRUE
TRUE,med,med,TRUE
FALSE,paramet,paramet,TRUE
TRUE,interview,interview,TRUE
TRUE,downwind,downwind,TRUE
FALSE,glanc,glanc,TRUE
FALSE,unev,unev,TRUE
TRUE,fair,fair,TRUE
FALSE,residu,residue,FALSE
FALSE,juvenil,juvenile,FALSE
TRUE,freezer,freezer,TRUE
FALSE,noi,noi,TRUE
TRUE,thud,thud,TRUE
TRUE,defect,defect,TRUE
TRUE,skunk,skunk,TRUE
TRUE,specif,specif,TRUE
TRUE,via,via,TRUE
FALSE,preflight,preflight,TRUE
TRUE,half,half,TRUE
TRUE,rotor,rotor,TRUE
TRUE,pic,pic,TRUE
TRUE,told,told,TRUE
TRUE,power,power,TRUE
FALSE,distanc,distance,FALSE
TRUE,owner,owner,TRUE
TRUE,avoid,avoid,TRUE
TRUE,southwest,southwest,TRUE
TRUE,agent,agent,TRUE
TRUE,correct,correct,TRUE
FALSE,bodi,body,FALSE
TRUE,cabin,cabin,TRUE
TRUE,den,den,TRUE
TRUE,problem,problem,TRUE
FALSE,signif,signify,FALSE
TRUE,panel,panel,TRUE
TRUE,portion,portion,TRUE
TRUE,differ,differ,TRUE
FALSE,acft,aircraft,FALSE
TRUE,corner,corner,TRUE
FALSE,notam,notam,TRUE
TRUE,odor,odor,TRUE
TRUE,special,special,TRUE
FALSE,lga,lga,TRUE
TRUE,high,high,TRUE
FALSE,mtce,mtce,TRUE
TRUE,skin,skin,TRUE
FALSE,registr,register,FALSE
FALSE,jia,jia,TRUE
FALSE,vultur,vulture,FALSE
TRUE,last,last,TRUE
TRUE,regard,regard,TRUE
FALSE,sinc,sinc,TRUE
TRUE,come,come,TRUE
TRUE,dark,dark,TRUE
TRUE,hold,hold,TRUE
FALSE,decea,deceased,FALSE
FALSE,enrout,enrout,TRUE
TRUE,stuck,stuck,TRUE
TRUE,say,say,TRUE
TRUE,amt,amt,TRUE
TRUE,pattern,pattern,TRUE
TRUE,medium,medium,TRUE
FALSE,asq,asq,TRUE
TRUE,either,either,TRUE
TRUE,partial,partial,TRUE
TRUE,cop,cop,TRUE
FALSE,insuffici,insufficient,FALSE
FALSE,kts,kts,TRUE
FALSE,vehicl,vehicle,FALSE
TRUE,paint,paint,TRUE
FALSE,kewr,kewr,TRUE
TRUE,stain,stain,TRUE
TRUE,western,western,TRUE
FALSE,canada,Canada,TRUE
TRUE,present,present,TRUE
FALSE,climbout,climb out,FALSE
FALSE,unsur,unsure,FALSE
FALSE,termin,termini,FALSE
FALSE,kslc,kslc,TRUE
TRUE,away,away,TRUE
FALSE,investig,investing,FALSE
FALSE,aviat,avian,FALSE
TRUE,vane,vane,TRUE
TRUE,extent,extent,TRUE
TRUE,hole,hole,TRUE
TRUE,streak,streak,TRUE
FALSE,supv,sup,FALSE
TRUE,phone,phone,TRUE
TRUE,cancel,cancel,TRUE
TRUE,rabbit,rabbit,TRUE
TRUE,spoke,spoke,TRUE
TRUE,egret,egret,TRUE
TRUE,bang,bang,TRUE
FALSE,horizont,horizon,FALSE
FALSE,eni,eni,TRUE
TRUE,shut,shut,TRUE
FALSE,didnt,didnt,TRUE
TRUE,case,case,TRUE
FALSE,seagul,seagull,FALSE
TRUE,jet,jet,TRUE
TRUE,outer,outer,TRUE
TRUE,trail,trail,TRUE
TRUE,rout,rout,TRUE
TRUE,obtain,obtain,TRUE
FALSE,katl,katl,TRUE
FALSE,eagl,eagle,FALSE
FALSE,numer,number,FALSE
TRUE,past,past,TRUE
TRUE,divert,divert,TRUE
TRUE,stage,stage,TRUE
FALSE,aay,say,FALSE
TRUE,reg,reg,TRUE
TRUE,fresh,fresh,TRUE
FALSE,duti,duty,FALSE
FALSE,rwyr,rwyr,TRUE
TRUE,think,think,TRUE
TRUE,common,common,TRUE
TRUE,get,get,TRUE
FALSE,jfk,JFK,TRUE
FALSE,smudg,smudg,TRUE
FALSE,involv,involve,FALSE
FALSE,european,European,TRUE
FALSE,rwyl,rwyl,TRUE
FALSE,separ,spear,FALSE
TRUE,hand,hand,TRUE
TRUE,tech,tech,TRUE
FALSE,verifi,verify,FALSE
TRUE,fox,fox,TRUE
FALSE,fdx,fdx,TRUE
FALSE,ksea,ksea,TRUE
FALSE,femal,female,FALSE
TRUE,set,set,TRUE
FALSE,deptd,departed,FALSE
TRUE,radar,radar,TRUE
TRUE,match,match,TRUE
FALSE,anyth,anything,FALSE
TRUE,propel,propel,TRUE
FALSE,llc,llc,TRUE
FALSE,littl,little,FALSE
TRUE,way,way,TRUE
TRUE,suggest,suggest,TRUE
TRUE,stripe,stripe,TRUE
TRUE,low,low,TRUE
TRUE,regular,regular,TRUE
TRUE,deep,deep,TRUE
TRUE,record,record,TRUE
FALSE,unconfirm,unconfirmed,FALSE
TRUE,slide,slide,TRUE
FALSE,substanti,substantial,FALSE
TRUE,might,might,TRUE
TRUE,plover,plover,TRUE
TRUE,stop,stop,TRUE
FALSE,ferri,ferri,TRUE
FALSE,klax,klax,TRUE
TRUE,four,four,TRUE
TRUE,reflect,reflect,TRUE
FALSE,sandpip,sandpip,TRUE
TRUE,proceed,proceed,TRUE
TRUE,ran,ran,TRUE
TRUE,blackbird,blackbird,TRUE
FALSE,dep,departed,FALSE
TRUE,put,put,TRUE
TRUE,long,long,TRUE
TRUE,cover,cover,TRUE
FALSE,unavail,unavail,TRUE
TRUE,open,open,TRUE
FALSE,kord,kord,TRUE
TRUE,tire,tire,TRUE
TRUE,affect,affect,TRUE
FALSE,sfo,sfo,TRUE
FALSE,precautionari,precautionary,FALSE
TRUE,lift,lift,TRUE
TRUE,onto,onto,TRUE
TRUE,turkey,turkey,TRUE
TRUE,insect,insect,TRUE
FALSE,twys,twas,FALSE
FALSE,ryr,rye,FALSE
TRUE,kill,kill,TRUE
FALSE,rhs,hrs,FALSE
TRUE,supervisor,supervisor,TRUE
FALSE,horiz,horizon,FALSE
TRUE,fire,fire,TRUE
FALSE,kpdx,KP,FALSE
TRUE,weather,weather,TRUE
TRUE,swept,swept,TRUE
TRUE,cliff,cliff,TRUE
FALSE,asa,ass,FALSE
FALSE,diagnost,diagnose,FALSE
TRUE,actual,actual,TRUE
TRUE,make,make,TRUE
TRUE,work,work,TRUE
TRUE,instrument,instrument,TRUE
FALSE,includ,include,FALSE
TRUE,intern,intern,TRUE
FALSE,nks,mks,FALSE
FALSE,compani,company,FALSE
TRUE,height,height,TRUE
TRUE,probe,probe,TRUE
TRUE,lost,lost,TRUE
TRUE,contract,contract,TRUE
TRUE,exact,exact,TRUE
TRUE,wind,wind,TRUE
TRUE,brake,brake,TRUE
TRUE,loss,loss,TRUE
FALSE,adz,ad,FALSE
FALSE,adjac,adj ac,FALSE
TRUE,overcast,overcast,TRUE
TRUE,mallard,mallard,TRUE
TRUE,bulletin,bulletin,TRUE
TRUE,amount,amount,TRUE
FALSE,aoa,aha,FALSE
FALSE,structur,structure,FALSE
FALSE,tri,tree,FALSE
FALSE,unk,ink,FALSE
FALSE,revi,rive,FALSE
FALSE,airfram,mainframe,FALSE
TRUE,feel,feel,TRUE
TRUE,new,new,TRUE
TRUE,detect,detect,TRUE
TRUE,descend,descend,TRUE
TRUE,rock,rock,TRUE
FALSE,experienc,experience,FALSE
TRUE,robin,robin,TRUE
TRUE,broke,broke,TRUE
FALSE,someth,so meth,FALSE
FALSE,fld,fl,FALSE
TRUE,start,start,TRUE
TRUE,obvious,obvious,TRUE
FALSE,rptd,rapt,FALSE
TRUE,met,met,TRUE
TRUE,even,even,TRUE
TRUE,elect,elect,TRUE
TRUE,send,send,TRUE
TRUE,tree,tree,TRUE
FALSE,mdw,mew,FALSE
TRUE,viz,viz,TRUE
TRUE,transport,transport,TRUE
TRUE,staff,staff,TRUE
FALSE,massport,passport,FALSE
FALSE,jetblu,bluet,FALSE
TRUE,seem,seem,TRUE
TRUE,level,level,TRUE
FALSE,associ,assoc,FALSE
FALSE,passeng,passing,FALSE
TRUE,est,est,TRUE
TRUE,snow,snow,TRUE
FALSE,leav,veal,FALSE
FALSE,obsvd,observed,FALSE
TRUE,gray,gray,TRUE
TRUE,toward,toward,TRUE
TRUE,overnight,overnight,TRUE
TRUE,scene,scene,TRUE
TRUE,knot,knot,TRUE
FALSE,kmem,km em,FALSE
TRUE,zone,zone,TRUE
TRUE,sea,sea,TRUE
FALSE,facil,fail,FALSE
TRUE,gut,gut,TRUE
FALSE,usg,us,FALSE
FALSE,helicopt,helicopter,FALSE
FALSE,subsequ,subsequent,FALSE
TRUE,attempt,attempt,TRUE
FALSE,phl,fl,FALSE
FALSE,airborn,airborne,FALSE
FALSE,ryl,rye,FALSE
TRUE,medic,medic,TRUE
TRUE,stall,stall,TRUE
FALSE,cfr,cf,FALSE
TRUE,lip,lip,TRUE
TRUE,blast,blast,TRUE
FALSE,slc,sec,FALSE
FALSE,updat,update,FALSE
FALSE,pdt,PDT,TRUE
FALSE,frwd,fwd,FALSE
FALSE,mani,main,FALSE
TRUE,bar,bar,TRUE
TRUE,liftoff,liftoff,TRUE
TRUE,herring,herring,TRUE
TRUE,remnant,remnant,TRUE
FALSE,manag,manga,FALSE
FALSE,ownerop,owner op,FALSE
FALSE,freetail,free tail,FALSE
TRUE,less,less,TRUE
TRUE,earlier,earlier,TRUE
FALSE,airplan,airplane,FALSE
TRUE,reach,reach,TRUE
TRUE,cut,cut,TRUE
TRUE,total,total,TRUE
TRUE,instruct,instruct,TRUE
TRUE,inc,inc,TRUE
TRUE,burn,burn,TRUE
FALSE,immatur,immature,FALSE
FALSE,kjfk,JFK,FALSE
TRUE,review,review,TRUE
TRUE,color,color,TRUE
TRUE,mgr,mgr,TRUE
FALSE,precaut,precast,FALSE
FALSE,dmgd,DMD,FALSE
FALSE,assembl,assemble,FALSE
FALSE,passerin,passer in,FALSE
FALSE,mia,MIA,TRUE
TRUE,blue,blue,TRUE
TRUE,spinner,spinner,TRUE
FALSE,hospit,ho spit,FALSE
FALSE,fulli,full,FALSE
FALSE,phx,phi,FALSE
TRUE,got,got,TRUE
FALSE,oclock,clock,FALSE
TRUE,board,board,TRUE
FALSE,relea,re lea,FALSE
TRUE,fill,fill,TRUE
TRUE,scatter,scatter,TRUE
TRUE,falcon,falcon,TRUE
FALSE,onlin,online,FALSE
FALSE,dca,dc,FALSE
FALSE,middl,middle,FALSE
FALSE,grnd,grind,FALSE
FALSE,acn,can,FALSE
TRUE,mid,mid,TRUE
FALSE,rsw,raw,FALSE
FALSE,whmp,whip,FALSE
TRUE,reopen,reopen,TRUE
FALSE,lhs,ls,FALSE
FALSE,roc,orc,FALSE
FALSE,prec,rec,FALSE
TRUE,site,site,TRUE
FALSE,unplan,plan,FALSE
FALSE,decid,diced,FALSE
FALSE,edgelin,gelling,FALSE
TRUE,endeavor,endeavor,TRUE
TRUE,wash,wash,TRUE
TRUE,blow,blow,TRUE
FALSE,advisori,advisor,FALSE
TRUE,question,question,TRUE
FALSE,sdf,sf,FALSE
TRUE,midpoint,midpoint,TRUE
FALSE,coupl,coup,FALSE
FALSE,ringbil,ribbing,FALSE
FALSE,relat,relay,FALSE
TRUE,specialist,specialist,TRUE
